Year,Period,labor force,employment,unemployment,unemployment rate
2017-09,09,4971481,4741798,229683,4.6
2017-10,10,4968112,4743417,224695,4.5
2017-11,11,4983762,4764235,219527,4.4
2017-12,12,4957476,4738428,219048,4.4
2018-01,01,4923308,4672220,251088,5.1
2018-02,02,4977536,4733326,244210,4.9
2018-03,03,4961955,4750690,211265,4.3
2018-04,04,4919822,4738152,181670,3.7
2018-05,05,4933358,4754494,178864,3.6
2018-06,06,5035277,4807038,228239,4.5
2018-07,07,5052758,4837062,215696,4.3
2018-08,08,4975983,4771137,204846,4.1
2018-09,09,4942495,4757266,185229,3.7
2018-10,10,4980533,4788186,192347,3.9
2018-11,11,4984659,4806760,177899,3.6
2018-12,12,4974179,4774825,199354,4.0
2019-01,01,4982143,4727707,254436,5.1
2019-02,02,4993167,4759979,233188,4.7
2019-03,03,5001325,4781662,219663,4.4
2019-04,04,4965322,4774618,190704,3.8
2019-05,05,4942262,4768355,173907,3.5
2019-06,06,5044410,4838541,205869,4.1
2019-07,07,5051858,4847905,203953,4.0
2019-08,08,5006170,4818894,187276,3.7
2019-09,09,4956394,4789982,166412,3.4
2019-10,10,4970260,4804992,165268,3.3
2019-11,11,4967561,4811654,155907,3.1
2019-12,12,4955970,4794146,161824,3.3
