Year,GDP(Billion)
2001,513.55
2002,516.78
2003,525.12
2004,539.22
2005,550.33
2006,563.77
2007,572.14
2008,560.76
2009,540.79
2010,547.91
2011,556.7
2012,570.95
2013,571.81
2014,585.49
2015,598.22
2016,600.35
2017,605.95
2018,622.01
2019,626.39
2020,592.46
2021,630.13
